#DEAL_UNIQUE_ID, FROM_CURRENCY_ISO_CODE, TO_CURRENCY_ISO_CODE, DEAL_TIMESTAMP, DEAL_AMOUNT
1,USD,INR,1/1/1970 0:00,100
2,EUR,INR,1/1/1970 0:00,200
3,AED,INR,1/1/1970 0:00,300
4,USD,INR,1/1/1970 0:00,400
5,EUR,INR,1/1/1970 0:00,500
6,AED,INR,1/1/1970 0:00,600
7,USD,INR,1/1/1970 0:00,700
8,EUR,INR,1/1/1970 0:00,800
9,AED,INR,1/1/1970 0:00,900
10,USD,INR,1/1/1970 0:00,1000
11,AED,INR,1/1/1970 0:00,1100
12,USD,INR,1/1/1970 0:00,1200
13,AED,INR,1/1/1970 0:00,1300
14,USD,INR,1/1/1970 0:00,1400
15,AED,INR,1/1/1970 0:00,1500
16,USD,INR,1/1/1970 0:00,1600
17,AED,INR,1/1/1970 0:00,1700
18,USD,INR,1/1/1970 0:00,1800
19,AED,INR,1/1/1970 0:00,1900
20,USD,INR,1/1/1970 0:00,2000
21,AED,INR,1/1/1970 0:00,2100
22,USD,INR,1/1/1970 0:00,2200
23,AED,INR,1/1/1970 0:00,2300
24,USD,INR,1/1/1970 0:00,2400
25,AED,INR,1/1/1970 0:00,2500
26,USD,INR,1/1/1970 0:00,2600
27,AED,INR,1/1/1970 0:00,2700
28,USD,INR,1/1/1970 0:00,2800
29,AED,INR,1/1/1970 0:00,2900
30,USD,INR,1/1/1970 0:00,3000
31,AED,INR,1/1/1970 0:00,3100
32,USD,INR,1/1/1970 0:00,3200
33,AED,INR,1/1/1970 0:00,3300
34,USD,INR,1/1/1970 0:00,3400
35,AED,INR,1/1/1970 0:00,3500
36,USD,INR,1/1/1970 0:00,3600
37,AED,INR,1/1/1970 0:00,3700
38,USD,INR,1/1/1970 0:00,3800
39,AED,INR,1/1/1970 0:00,3900
40,USD,INR,1/1/1970 0:00,4000
41,AED,INR,1/1/1970 0:00,4100
42,USD,INR,1/1/1970 0:00,4200
43,AED,INR,1/1/1970 0:00,4300
44,USD,INR,1/1/1970 0:00,4400
45,AED,INR,1/1/1970 0:00,4500
46,USD,INR,1/1/1970 0:00,4600
47,AED,INR,1/1/1970 0:00,4700
48,USD,INR,1/1/1970 0:00,4800
49,AED,INR,1/1/1970 0:00,4900
50,USD,INR,1/1/1970 0:00,5000
51,AED,INR,1/1/1970 0:00,5100
52,USD,INR,1/1/1970 0:00,5200
53,AED,INR,1/1/1970 0:00,5300
54,USD,INR,1/1/1970 0:00,5400
55,AED,INR,1/1/1970 0:00,5500
56,USD,INR,1/1/1970 0:00,5600
57,AED,INR,1/1/1970 0:00,5700
58,USD,INR,1/1/1970 0:00,5800
59,AED,INR,1/1/1970 0:00,5900
60,USD,INR,1/1/1970 0:00,6000
61,AED,INR,1/1/1970 0:00,6100
62,USD,INR,1/1/1970 0:00,6200
63,AED,INR,1/1/1970 0:00,6300
64,USD,INR,1/1/1970 0:00,6400
65,AED,INR,1/1/1970 0:00,6500
66,USD,INR,1/1/1970 0:00,6600
67,AED,INR,1/1/1970 0:00,6700
68,USD,INR,1/1/1970 0:00,6800
69,AED,INR,1/1/1970 0:00,6900
70,USD,INR,1/1/1970 0:00,7000
71,AED,INR,1/1/1970 0:00,7100
72,USD,INR,1/1/1970 0:00,7200
73,AED,INR,1/1/1970 0:00,7300
74,USD,INR,1/1/1970 0:00,7400
75,AED,INR,1/1/1970 0:00,7500
76,USD,INR,1/1/1970 0:00,7600
77,AED,INR,1/1/1970 0:00,7700
78,USD,INR,1/1/1970 0:00,7800
79,AED,INR,1/1/1970 0:00,7900
80,USD,INR,1/1/1970 0:00,8000
81,AED,INR,1/1/1970 0:00,8100
82,USD,INR,1/1/1970 0:00,8200
83,AED,INR,1/1/1970 0:00,8300
84,USD,INR,1/1/1970 0:00,8400
85,AED,INR,1/1/1970 0:00,8500
86,USD,INR,1/1/1970 0:00,8600
87,AED,INR,1/1/1970 0:00,8700
88,USD,INR,1/1/1970 0:00,8800
89,AED,INR,1/1/1970 0:00,8900
90,USD,INR,1/1/1970 0:00,9000
91,AED,INR,1/1/1970 0:00,9100
92,USD,INR,1/1/1970 0:00,9200
93,AED,INR,1/1/1970 0:00,9300
94,USD,INR,1/1/1970 0:00,9400
95,AED,INR,1/1/1970 0:00,9500
96,USD,INR,1/1/1970 0:00,9600
97,AED,INR,1/1/1970 0:00,9700
98,USD,INR,1/1/1970 0:00,9800
99,AED,INR,1/1/1970 0:00,9900
100,USD,INR,1/1/1970 0:00,10000
101,AED,INR,1/1/1970 0:00,10100
102,USD,INR,1/1/1970 0:00,10200
103,AED,INR,1/1/1970 0:00,10300
104,USD,INR,1/1/1970 0:00,10400
105,AED,INR,1/1/1970 0:00,10500
106,USD,INR,1/1/1970 0:00,10600
107,AED,INR,1/1/1970 0:00,10700
108,USD,INR,1/1/1970 0:00,10800
109,AED,INR,1/1/1970 0:00,10900
110,USD,INR,1/1/1970 0:00,11000
111,AED,INR,1/1/1970 0:00,11100
112,USD,INR,1/1/1970 0:00,11200
113,AED,INR,1/1/1970 0:00,11300
114,USD,INR,1/1/1970 0:00,11400
115,AED,INR,1/1/1970 0:00,11500
116,USD,INR,1/1/1970 0:00,11600
117,AED,INR,1/1/1970 0:00,11700
118,USD,INR,1/1/1970 0:00,11800
119,AED,INR,1/1/1970 0:00,11900
120,USD,INR,1/1/1970 0:00,12000
121,AED,INR,1/1/1970 0:00,12100
122,USD,INR,1/1/1970 0:00,12200
123,AED,INR,1/1/1970 0:00,12300
124,USD,INR,1/1/1970 0:00,12400
125,AED,INR,1/1/1970 0:00,12500
126,USD,INR,1/1/1970 0:00,12600
127,AED,INR,1/1/1970 0:00,12700
128,USD,INR,1/1/1970 0:00,12800
129,AED,INR,1/1/1970 0:00,12900
130,USD,INR,1/1/1970 0:00,13000
131,AED,INR,1/1/1970 0:00,13100
132,USD,INR,1/1/1970 0:00,13200
133,AED,INR,1/1/1970 0:00,13300
134,USD,INR,1/1/1970 0:00,13400
135,AED,INR,1/1/1970 0:00,13500
136,USD,INR,1/1/1970 0:00,13600
137,AED,INR,1/1/1970 0:00,13700
138,USD,INR,1/1/1970 0:00,13800
139,AED,INR,1/1/1970 0:00,13900
140,USD,INR,1/1/1970 0:00,14000
141,AED,INR,1/1/1970 0:00,14100
142,USD,INR,1/1/1970 0:00,14200
143,AED,INR,1/1/1970 0:00,14300
